LCMXO2-4000,,,,,,
Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS
119,PT23D,0,PROGRAMN,Comp_OF_PT23C,-,-
120,PT23C,0,JTAGENB,True_OF_PT23D,-,-
121,PT21B,0,-,Comp_OF_PT21A,TRUE,-
122,PT21A,0,-,True_OF_PT21B,TRUE,-
123,VCCIO0,0,-,-,-,-
124,GND,-,-,-,-,-
125,PT20D,0,SDA/PCLKC0_0,Comp_OF_PT20C,-,-
126,PT20C,0,SCL/PCLKT0_0,True_OF_PT20D,-,-
127,PT18B,0,PCLKC0_1,Comp_OF_PT18A,TRUE,-
128,PT18A,0,PCLKT0_1,True_OF_PT18B,TRUE,-
129,NC,-,-,-,-,-
130,PT15D,0,TMS,Comp_OF_PT15C,-,-
131,PT15C,0,TCK,True_OF_PT15D,-,-
132,PT14B,0,-,Comp_OF_PT14A,TRUE,-
133,PT14A,0,-,True_OF_PT14B,TRUE,-
134,GND,-,-,-,-,-
135,VCCIO0,0,-,-,-,-
136,PT13D,0,TDI,Comp_OF_PT13C,-,-
137,PT13C,0,TDO,True_OF_PT13D,-,-
138,PT11B,0,-,Comp_OF_PT11A,TRUE,-
139,PT11A,0,-,True_OF_PT11B,TRUE,-
140,PT10B,0,-,Comp_OF_PT10A,TRUE,-
141,PT10A,0,-,True_OF_PT10B,TRUE,-
142,PT9B,0,-,Comp_OF_PT9A,TRUE,-
143,PT9A,0,-,True_OF_PT9B,TRUE,-
144,VCC,-,-,-,-,-
